"","Dimension","Value","total_time_out_nest","total_time_in_nest"
"1","1","Residuals","-1.87426450357519","1.87426450357516"
"2","1","p values","0.3654","0.3654"
"3","2","Residuals","-10.9638565916962","10.9638565916961"
"4","2","p values","0*","0*"
"5","3","Residuals","13.5298461179152","-13.5298461179153"
"6","3","p values","0*","0*"
