"","Dimension","Value","total_time_out_nest","total_time_in_nest"
"1","1","Residuals","-14.5344265800462","14.5344265800463"
"2","1","p values","0*","0*"
"3","2","Residuals","6.66792427267093","-6.66792427267094"
"4","2","p values","0*","0*"
"5","3","Residuals","8.31884339130887","-8.31884339130883"
"6","3","p values","0*","0*"
